Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Abel-7B-002,aime,0.1,aime,0.33445220523410374,0.45702718098958334,0.19443740844726562
Abel-7B-002,aime,0.2,aime,0.30508557425604926,0.45814751519097224,0.2103634304470486
Abel-7B-002,aime,0.3,aime,0.32709838019476994,0.4539455837673611,0.1994813707139757
Abel-7B-002,aime,0.4,aime,0.3429159164428711,0.47471483018663196,0.19029642740885416
Abel-7B-002,aime,0.5,aime,0.3008040322197808,0.45988667805989586,0.20787929958767362
Abel-7B-002,aime,0.6,aime,0.31789287990993925,0.4447509765625,0.20129597981770833
Abel-7B-002,aime,0.7,aime,0.31870210435655383,0.44650743272569443,0.2041195339626736
Abel-7B-002,aime,0.8,aime,0.2980210622151693,0.4397427029079861,0.18825242784288193
Abel-7B-002,aime,0.9,aime,0.2652731895446777,0.41888580322265623,0.19554273817274306
Abel-7B-002,aime,1.0,aime,0.29553133646647134,0.42969190809461805,0.19558342827690972
Abel-7B-002,aime,1.1,aime,0.2648746066623264,0.4049496120876736,0.20768568250868055
Abel-7B-002,aime,1.2,aime,0.2567826588948568,0.3894212510850694,0.2144332038031684
Abel-7B-002,aime,1.3,aime,0.22377073499891492,0.38127712673611114,0.19043629964192707
Abel-7B-002,aime,1.4,aime,0.22688505384657118,0.3813544379340278,0.17394833034939236
Abel-7B-002,aime,1.5,aime,0.21799089643690323,0.3347932603624132,0.16645931667751737
