Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Abel-7B-002,mr-gsm8k,0.1,0.7492906926516444,0.19089499254897238,0.6187381896972656
Abel-7B-002,mr-gsm8k,0.2,0.7461204976933077,0.18907499142736198,0.6250238342285156
Abel-7B-002,mr-gsm8k,0.4,0.7520733897555619,0.1955887193493545,0.6203211975097657
Abel-7B-002,mr-gsm8k,0.5,0.7307308042765944,0.1912334898225963,0.6179964294433594
Abel-7B-002,mr-gsm8k,0.7,0.7514218610753305,0.18751440001651645,0.6258123779296875
Abel-7B-002,mr-gsm8k,0.9,0.7284861228642985,0.1833913746876642,0.6180882873535156
Abel-7B-002,mr-gsm8k,1.1,0.702336082759779,0.1799498818293214,0.5933494262695312
Abel-7B-002,mr-gsm8k,1.2,0.6918322441014462,0.181312636770308,0.572323486328125
Abel-7B-002,mr-gsm8k,1.4,0.6153416488882348,0.179486765535567,0.5229834363551321
Abel-7B-002,mr-gsm8k,1.5,0.5712659377684044,0.17387265622343323,0.496570747696565
Abel-7B-002,mr-gsm8k,1.7,0.45561103554879256,0.18308590481035367,0.40060547119629886
Abel-7B-002,mr-gsm8k,1.9,0.2905649961289993,0.1961774565541828,0.2564886849171199
