Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-0.6B,aime,0.1,0.6098927815755208,0.4815582275390625,0.1488555908203125
Qwen3-0.6B,aime,0.2,0.6217788272433811,0.4967190212673611,0.15356547037760418
Qwen3-0.6B,aime,0.3,0.5986753251817492,0.48723042805989586,0.15559590657552083
Qwen3-0.6B,aime,0.4,0.620597415500217,0.47742703755696614,0.14188656277126735
Qwen3-0.6B,aime,0.5,0.597409184773763,0.4800562540690104,0.13233846028645832
Qwen3-0.6B,aime,0.6,0.6119502173529731,0.48386196560329864,0.14661729600694445
Qwen3-0.6B,aime,0.7,0.5475757175021702,0.4894327799479167,0.12381100124782986
Qwen3-0.6B,aime,0.8,0.5443748474121094,0.469940185546875,0.12156626383463541
Qwen3-0.6B,aime,0.9,0.4961612277560764,0.47203470865885416,0.12088529798719617
Qwen3-0.6B,aime,1.0,0.5229180230034722,0.5151828342013889,0.11324259440104166
Qwen3-0.6B,aime,1.1,0.5507460064358182,0.4867299397786458,0.11809353298611111
Qwen3-0.6B,aime,1.2,0.439314693874783,0.5216942681206598,0.11376698811848958
Qwen3-0.6B,aime,1.3,0.45173055860731337,0.5261067708333333,0.10482652452256945
Qwen3-0.6B,aime,1.4,0.42753702799479165,0.5242648654513888,0.094244384765625
Qwen3-0.6B,aime,1.5,0.4410229153103299,0.5383707682291666,0.09254692925347222
