Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-14B,aime,0.1,0.27420789930555556,0.4729682074652778,0.24693094889322917
Qwen3-14B,aime,0.2,0.25512593587239585,0.4738308376736111,0.22060004340277778
Qwen3-14B,aime,0.3,0.27706612481011283,0.46730143229166665,0.23627353244357638
Qwen3-14B,aime,0.4,0.2580638461642795,0.48103434244791665,0.2326107449001736
Qwen3-14B,aime,0.5,0.24453074137369793,0.45927191840277776,0.22224019368489584
Qwen3-14B,aime,0.6,0.266099124484592,0.4768256293402778,0.22668863932291666
Qwen3-14B,aime,0.7,0.2386411878797743,0.49246419270833336,0.20830603705512152
Qwen3-14B,aime,0.8,0.23600116305881078,0.4879150390625,0.2001675075954861
Qwen3-14B,aime,0.9,0.2327424791124132,0.4931586371527778,0.20710618760850694
Qwen3-14B,aime,1.0,0.23105010986328126,0.48517930772569445,0.1942715115017361
Qwen3-14B,aime,1.1,0.2421038309733073,0.5135552300347223,0.18333672417534722
Qwen3-14B,aime,1.2,0.24090762668185764,0.5257161458333334,0.1838043212890625
Qwen3-14B,aime,1.3,0.22656639946831597,0.5133978949652778,0.17586669921875
Qwen3-14B,aime,1.4,0.23259056939019096,0.5123697916666666,0.1935153537326389
Qwen3-14B,aime,1.5,0.2515722486707899,0.5327826605902778,0.18605143229166668
