Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-14B,aime,0.1,aime,0.5831472608778212,0.49846327039930555,0.24693094889322917
Qwen3-14B,aime,0.2,aime,0.5879256354437934,0.4806688096788194,0.22060004340277778
Qwen3-14B,aime,0.3,aime,0.6200995975070529,0.4755060831705729,0.23627353244357638
Qwen3-14B,aime,0.4,aime,0.582244963116116,0.5038777669270833,0.2326107449001736
Qwen3-14B,aime,0.5,aime,0.6356051974826389,0.4791508992513021,0.22224019368489584
Qwen3-14B,aime,0.6,aime,0.667099126180013,0.5166476779513889,0.22668863932291666
Qwen3-14B,aime,0.7,aime,0.6503924051920573,0.464276123046875,0.20830603705512152
Qwen3-14B,aime,0.8,aime,0.613270123799642,0.4863501654730903,0.2001675075954861
Qwen3-14B,aime,0.9,aime,0.6249656253390842,0.48988164265950523,0.20710618760850694
Qwen3-14B,aime,1.0,aime,0.6393229590521918,0.49004550509982636,0.1942715115017361
Qwen3-14B,aime,1.1,aime,0.6184181319342719,0.507177734375,0.18333672417534722
Qwen3-14B,aime,1.2,aime,0.6536897023518881,0.5050889756944444,0.1838043212890625
Qwen3-14B,aime,1.3,aime,0.6090840657552083,0.5055691189236111,0.17586669921875
Qwen3-14B,aime,1.4,aime,0.6143739382425945,0.5074055989583334,0.1935153537326389
Qwen3-14B,aime,1.5,aime,0.648667483859592,0.5296834309895834,0.18605143229166668
