Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-30B-A3B,aime,0.1,aime,0.7703092363145616,0.5028306749131944,0.13386942545572916
Qwen3-30B-A3B,aime,0.2,aime,0.7810691409640842,0.4945651584201389,0.13376295301649305
Qwen3-30B-A3B,aime,0.3,aime,0.7711189693874783,0.49132080078125,0.13041890462239583
Qwen3-30B-A3B,aime,0.4,aime,0.7462707837422689,0.5185262044270833,0.13162027994791667
Qwen3-30B-A3B,aime,0.5,aime,0.7250547620985243,0.5002088758680555,0.1371738009982639
Qwen3-30B-A3B,aime,0.6,aime,0.7433791266547309,0.5200141059027777,0.13178609212239584
Qwen3-30B-A3B,aime,0.7,aime,0.7506541781955295,0.5031032986111111,0.12939927842881943
Qwen3-30B-A3B,aime,0.8,aime,0.7191507975260417,0.5106472439236112,0.1350860595703125
Qwen3-30B-A3B,aime,0.9,aime,0.7265302022298177,0.505419921875,0.13656141493055557
Qwen3-30B-A3B,aime,1.0,aime,0.7346581670973036,0.5244167751736111,0.13427802191840277
Qwen3-30B-A3B,aime,1.1,aime,0.7181753370496962,0.5082837422688802,0.14338887532552083
Qwen3-30B-A3B,aime,1.2,aime,0.6834173838297526,0.5223578559027777,0.14095933702256944
Qwen3-30B-A3B,aime,1.3,aime,0.6689051098293728,0.52728271484375,0.1320132785373264
Qwen3-30B-A3B,aime,1.4,aime,0.6858223385281033,0.5427354600694444,0.1457248263888889
Qwen3-30B-A3B,aime,1.5,aime,0.6634041680230035,0.5258612738715278,0.14372999403211806
