Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
WizardMath-7B-V1.1,aime,0.1,0.3101450602213542,0.37475111219618057,0.22912072075737847
WizardMath-7B-V1.1,aime,0.2,0.2823486540052626,0.35328572591145835,0.22290276421440972
WizardMath-7B-V1.1,aime,0.3,0.2800462298923069,0.3629536946614583,0.2453214857313368
WizardMath-7B-V1.1,aime,0.4,0.2922068172030979,0.3353980170355903,0.2395055135091146
WizardMath-7B-V1.1,aime,0.5,0.3130812750922309,0.35526801215277776,0.25053304036458335
WizardMath-7B-V1.1,aime,0.6,0.2670087496439616,0.3637300279405382,0.2365631103515625
WizardMath-7B-V1.1,aime,0.7,0.2707852681477865,0.3575915866427951,0.22011854383680557
WizardMath-7B-V1.1,aime,0.8,0.2675388230217828,0.3738315158420139,0.2326265123155382
WizardMath-7B-V1.1,aime,0.9,0.28040201399061415,0.3372727288140191,0.21158981323242188
WizardMath-7B-V1.1,aime,1.0,0.31024044884575736,0.3423651801215278,0.2280379825168186
WizardMath-7B-V1.1,aime,1.1,0.24196980794270834,0.35212249755859376,0.2012632581922743
WizardMath-7B-V1.1,aime,1.2,0.2527133941650391,0.33605270385742186,0.19560360378689237
WizardMath-7B-V1.1,aime,1.3,0.2600442780388726,0.33553051418728297,0.20447777642144097
WizardMath-7B-V1.1,aime,1.4,0.25936928855048286,0.31393390231662327,0.16138848198784722
WizardMath-7B-V1.1,aime,1.5,0.23305451075236003,0.28884387546115453,0.14166327582465277
