Model,Dataset,Temperature,Question_UUID,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
WizardMath-7B-V1.1,aime,0.1,0,aime,0.273834228515625,0.2105712890625,0.0953369140625
WizardMath-7B-V1.1,aime,0.1,1,aime,0.10469818115234375,0.5947265625,0.08758544921875
WizardMath-7B-V1.1,aime,0.1,2,aime,0.2591438293457031,0.48876953125,0.134765625
WizardMath-7B-V1.1,aime,0.1,3,aime,0.3290557861328125,0.49462890625,0.259765625
WizardMath-7B-V1.1,aime,0.1,4,aime,0.165557861328125,0.09552001953125,0.418701171875
WizardMath-7B-V1.1,aime,0.1,5,aime,0.281707763671875,0.5263671875,0.029754638671875
WizardMath-7B-V1.1,aime,0.1,6,aime,0.301300048828125,0.1962890625,0.34521484375
WizardMath-7B-V1.1,aime,0.1,7,aime,0.12652587890625,0.310302734375,0.445556640625
WizardMath-7B-V1.1,aime,0.1,8,aime,0.1466217041015625,0.4091796875,0.294189453125
WizardMath-7B-V1.1,aime,0.1,9,aime,0.14130401611328125,0.318603515625,0.32080078125
WizardMath-7B-V1.1,aime,0.1,10,aime,0.32568359375,0.262939453125,0.39990234375
WizardMath-7B-V1.1,aime,0.1,11,aime,0.11386489868164062,0.421875,0.248046875
WizardMath-7B-V1.1,aime,0.1,12,aime,0.46435546875,0.33447265625,0.546875
WizardMath-7B-V1.1,aime,0.1,13,aime,0.6180419921875,0.45263671875,0.043365478515625
WizardMath-7B-V1.1,aime,0.1,14,aime,0.3436317443847656,0.229736328125,0.291015625
WizardMath-7B-V1.1,aime,0.1,15,aime,0.753662109375,0.07745361328125,0.1561279296875
WizardMath-7B-V1.1,aime,0.1,16,aime,0.2908935546875,0.56201171875,0.2254638671875
WizardMath-7B-V1.1,aime,0.1,17,aime,0.123870849609375,0.4873046875,0.120849609375
WizardMath-7B-V1.1,aime,0.1,18,aime,0.1065826416015625,0.394775390625,0.437744140625
WizardMath-7B-V1.1,aime,0.1,19,aime,0.3165435791015625,0.59326171875,0.5234375
WizardMath-7B-V1.1,aime,0.1,20,aime,0.4869384765625,0.44091796875,0.1871337890625
WizardMath-7B-V1.1,aime,0.1,21,aime,0.1787872314453125,0.52001953125,0.11126708984375
WizardMath-7B-V1.1,aime,0.1,22,aime,0.2952136993408203,0.370849609375,0.29736328125
WizardMath-7B-V1.1,aime,0.1,23,aime,0.22509002685546875,0.216064453125,0.1312255859375
WizardMath-7B-V1.1,aime,0.1,24,aime,0.4449462890625,0.5400390625,0.140380859375
WizardMath-7B-V1.1,aime,0.1,25,aime,0.540008544921875,0.18212890625,0.388671875
WizardMath-7B-V1.1,aime,0.1,26,aime,0.5224609375,0.5283203125,0.1602783203125
WizardMath-7B-V1.1,aime,0.1,27,aime,0.5355453491210938,0.322021484375,0.392333984375
WizardMath-7B-V1.1,aime,0.1,28,aime,0.30356597900390625,0.44775390625,0.338134765625
WizardMath-7B-V1.1,aime,0.1,29,aime,0.213592529296875,0.279296875,0.103759765625
WizardMath-7B-V1.1,aime,0.1,30,aime,0.13462066650390625,0.234375,0.0194244384765625
WizardMath-7B-V1.1,aime,0.1,31,aime,0.195281982421875,0.482177734375,0.219970703125
WizardMath-7B-V1.1,aime,0.1,32,aime,0.37149810791015625,0.18359375,0.049591064453125
WizardMath-7B-V1.1,aime,0.1,33,aime,0.1523284912109375,0.11566162109375,0.10968017578125
