Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
WizardMath-7B-V1.1,hybrid_reasoning,0.0,0.2809881019592285,0.21838592529296874,0.548403574625651
WizardMath-7B-V1.1,hybrid_reasoning,0.1,0.29193954467773436,0.22062367757161458,0.5447066243489583
WizardMath-7B-V1.1,hybrid_reasoning,0.2,0.2828077443440755,0.213074951171875,0.5354871368408203
WizardMath-7B-V1.1,hybrid_reasoning,0.3,0.28568487803141274,0.21537241617838543,0.5313809712727865
WizardMath-7B-V1.1,hybrid_reasoning,0.4,0.2887009684244792,0.2145964813232422,0.5283985392252604
WizardMath-7B-V1.1,hybrid_reasoning,0.5,0.2838840993245443,0.21546218872070313,0.5415541839599609
WizardMath-7B-V1.1,hybrid_reasoning,0.6,0.28493361790974936,0.21711685180664062,0.534838612874349
WizardMath-7B-V1.1,hybrid_reasoning,0.7,0.28217486063639324,0.20961222330729168,0.5323685709635416
WizardMath-7B-V1.1,hybrid_reasoning,0.8,0.278754514058431,0.21288233439127605,0.5246699523925781
WizardMath-7B-V1.1,hybrid_reasoning,0.9,0.2746874237060547,0.20541239420572915,0.4989906819661458
WizardMath-7B-V1.1,hybrid_reasoning,1.0,0.26706963857014976,0.1991736602783203,0.4992002868652344
WizardMath-7B-V1.1,hybrid_reasoning,1.1,0.26021616617838544,0.1999937438964844,0.48279642740885415
WizardMath-7B-V1.1,hybrid_reasoning,1.2,0.23402449289957683,0.2013378397623698,0.4285656229654948
WizardMath-7B-V1.1,hybrid_reasoning,1.3,0.2392404810587565,0.2033581797281901,0.4065250142415365
WizardMath-7B-V1.1,hybrid_reasoning,1.4,0.225762456258138,0.19945603688557942,0.38062983194986977
WizardMath-7B-V1.1,hybrid_reasoning,1.5,0.1934911855061849,0.20338223775227865,0.30848286946614584
WizardMath-7B-V1.1,hybrid_reasoning,1.6,0.16817991892496745,0.21423119862874349,0.25324666341145835
