Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
WizardMath-7B-V1.1,hybrid_reasoning,0.0,math,0.24839180755615234,0.2336185302734375,0.5263472290039063
WizardMath-7B-V1.1,hybrid_reasoning,0.0,mr-gsm8k,0.4439695739746094,0.142222900390625,0.658685302734375
WizardMath-7B-V1.1,hybrid_reasoning,0.1,math,0.2547050170898438,0.237240478515625,0.52226904296875
WizardMath-7B-V1.1,hybrid_reasoning,0.1,mr-gsm8k,0.4781121826171875,0.1375396728515625,0.65689453125
WizardMath-7B-V1.1,hybrid_reasoning,0.2,math,0.24970391845703124,0.2291077880859375,0.5095769958496094
WizardMath-7B-V1.1,hybrid_reasoning,0.2,mr-gsm8k,0.44832687377929686,0.1329107666015625,0.665037841796875
WizardMath-7B-V1.1,hybrid_reasoning,0.3,math,0.24543661499023436,0.231856201171875,0.5093847045898438
WizardMath-7B-V1.1,hybrid_reasoning,0.3,mr-gsm8k,0.4869261932373047,0.1329534912109375,0.6413623046875
WizardMath-7B-V1.1,hybrid_reasoning,0.4,math,0.25127706909179687,0.22785818481445314,0.513990234375
WizardMath-7B-V1.1,hybrid_reasoning,0.4,mr-gsm8k,0.4758204650878906,0.1482879638671875,0.6004400634765625
WizardMath-7B-V1.1,hybrid_reasoning,0.5,math,0.248207763671875,0.231681884765625,0.5230234680175782
WizardMath-7B-V1.1,hybrid_reasoning,0.5,mr-gsm8k,0.4622657775878906,0.13436370849609375,0.634207763671875
WizardMath-7B-V1.1,hybrid_reasoning,0.6,math,0.24131871795654297,0.2361693115234375,0.5043385620117188
WizardMath-7B-V1.1,hybrid_reasoning,0.6,mr-gsm8k,0.5030081176757812,0.12185455322265625,0.6873388671875
WizardMath-7B-V1.1,hybrid_reasoning,0.7,math,0.2408867950439453,0.22461279296875,0.49666845703125
WizardMath-7B-V1.1,hybrid_reasoning,0.7,mr-gsm8k,0.4886151885986328,0.134609375,0.710869140625
WizardMath-7B-V1.1,hybrid_reasoning,0.8,math,0.24648321533203124,0.22319598388671874,0.5034895629882813
WizardMath-7B-V1.1,hybrid_reasoning,0.8,mr-gsm8k,0.4401110076904297,0.1613140869140625,0.6305718994140626
WizardMath-7B-V1.1,hybrid_reasoning,0.9,math,0.230410888671875,0.21696160888671875,0.47944677734375
WizardMath-7B-V1.1,hybrid_reasoning,0.9,mr-gsm8k,0.49607009887695314,0.14766632080078124,0.596710205078125
WizardMath-7B-V1.1,hybrid_reasoning,1.0,math,0.23371163940429687,0.2115322570800781,0.46760821533203123
WizardMath-7B-V1.1,hybrid_reasoning,1.0,mr-gsm8k,0.43385963439941405,0.13738067626953124,0.65716064453125
WizardMath-7B-V1.1,hybrid_reasoning,1.1,math,0.22191424560546874,0.2124139404296875,0.45376611328125
WizardMath-7B-V1.1,hybrid_reasoning,1.1,mr-gsm8k,0.45172576904296874,0.13789276123046876,0.627947998046875
WizardMath-7B-V1.1,hybrid_reasoning,1.2,math,0.1994360809326172,0.2106627197265625,0.40216790771484373
WizardMath-7B-V1.1,hybrid_reasoning,1.2,mr-gsm8k,0.406966552734375,0.15471343994140624,0.56055419921875
WizardMath-7B-V1.1,hybrid_reasoning,1.3,math,0.20190220642089843,0.21443899536132813,0.37930194091796876
WizardMath-7B-V1.1,hybrid_reasoning,1.3,mr-gsm8k,0.42593185424804686,0.1479541015625,0.542640380859375
WizardMath-7B-V1.1,hybrid_reasoning,1.4,math,0.19390826416015625,0.20698915100097656,0.34442352294921874
WizardMath-7B-V1.1,hybrid_reasoning,1.4,mr-gsm8k,0.38503341674804686,0.16179046630859376,0.561661376953125
WizardMath-7B-V1.1,hybrid_reasoning,1.5,math,0.16399984741210938,0.2088285827636719,0.275845947265625
WizardMath-7B-V1.1,hybrid_reasoning,1.5,mr-gsm8k,0.3409478759765625,0.1761505126953125,0.47166748046875
WizardMath-7B-V1.1,hybrid_reasoning,1.6,math,0.14406851196289064,0.2186725311279297,0.23724334716796874
WizardMath-7B-V1.1,hybrid_reasoning,1.6,mr-gsm8k,0.2887369537353516,0.1920245361328125,0.3332632446289063
