Model,Dataset,Temperature,Question_UUID,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/intermediate_algebra/667.json,math,0.4708024263381958,0.11831201612949371,0.546875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/2108.json,math,0.9023671168833971,0.08173084259033203,0.98291015625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/1314.json,math,0.8388296253979206,0.2416965216398239,0.78271484375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/precalculus/241.json,math,0.795731820166111,0.1318315863609314,0.8857421875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/636.json,math,0.9592048251070082,0.03374346345663071,0.97021484375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/2790.json,math,0.5017479658126831,0.13000646233558655,0.6259765625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/geometry/808.json,math,0.807495042681694,0.4305865168571472,0.751953125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/110.json,math,0.9298012256622314,0.10903674364089966,0.98046875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/counting_and_probability/563.json,math,0.616942435503006,0.2565799653530121,0.8759765625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/number_theory/998.json,math,0.9624209571629763,0.06548935920000076,0.95458984375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/algebra/2259.json,math,0.21542157232761383,0.46427321434020996,0.32421875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/algebra/1762.json,math,0.28638615645468235,0.08068198710680008,0.10089111328125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/2673.json,math,0.8184565976262093,0.1549237221479416,0.921875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/number_theory/75.json,math,0.8087100833654404,0.08301703631877899,0.93798828125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/precalculus/329.json,math,0.6212793691083789,0.17237499356269836,0.6826171875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/geometry/231.json,math,0.05317403934895992,0.49940454959869385,0.3701171875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/intermediate_algebra/227.json,math,0.8604656616225839,0.06179609149694443,0.99267578125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/counting_and_probability/474.json,math,0.5763622727245092,0.1758860945701599,0.86328125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/12.json,math,0.1280968077480793,0.06584984809160233,0.69580078125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/counting_and_probability/409.json,math,0.6593299061059952,0.08589503914117813,0.84375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/2751.json,math,0.9344697939231992,0.2697775363922119,0.8759765625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/algebra/25999.json,math,0.6601669527590275,0.36318495869636536,0.87255859375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/precalculus/163.json,math,0.9005054831504822,0.22606955468654633,0.85009765625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/prealgebra/1641.json,math,0.9396436475217342,0.08005065470933914,0.453369140625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/precalculus/121.json,math,0.937509510666132,0.2839462459087372,0.7216796875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/number_theory/1054.json,math,0.8870436232537031,0.02601080946624279,0.67578125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/counting_and_probability/323.json,math,0.4972942257300019,0.2628895044326782,0.54296875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/precalculus/465.json,math,0.3785381279885769,0.21834947168827057,0.359375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/counting_and_probability/332.json,math,0.5020832009613514,0.31007134914398193,0.115966796875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/513.json,math,0.7293093502521515,0.36936989426612854,0.70556640625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/1996.json,math,0.911572054028511,0.09338051825761795,0.640625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/precalculus/176.json,math,0.7389034330844879,0.31121644377708435,0.865234375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/1492.json,math,0.8467792235314846,0.16994483768939972,0.9599609375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/1414.json,math,0.6334222974255681,0.34252455830574036,0.880859375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/algebra/2694.json,math,0.09056063741445541,0.2743222713470459,0.76611328125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/geometry/350.json,math,0.5682316813617945,0.03201049193739891,0.79296875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/precalculus/558.json,math,0.7693602740764618,0.3878883421421051,0.5849609375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/20.json,math,0.468518765643239,0.06449383497238159,0.8759765625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/1821.json,math,0.7185161709785461,0.085462287068367,0.990234375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/algebra/651.json,math,0.6794484853744507,0.34372878074645996,0.89501953125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/algebra/10.json,math,0.9719493053853512,0.044290654361248016,0.990234375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/intermediate_algebra/1737.json,math,0.5160573795437813,0.2745639681816101,0.662109375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/intermediate_algebra/1292.json,math,0.5109110921621323,0.1638181507587433,0.418701171875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/469.json,math,0.2204507077112794,0.07486699521541595,0.2393798828125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/precalculus/653.json,math,0.8035740405321121,0.3751658499240875,0.7880859375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/intermediate_algebra/149.json,math,0.9107789397239685,0.19552037119865417,0.94970703125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/intermediate_algebra/432.json,math,0.6377502959221601,0.14964666962623596,0.71533203125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/prealgebra/1792.json,math,0.7614407707005739,0.09608639776706696,0.9658203125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/intermediate_algebra/511.json,math,0.46477387472987175,0.4390518367290497,0.91748046875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/precalculus/399.json,math,0.8959873095154762,0.28550854325294495,0.9072265625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/16.json,math,0.7120067775249481,0.5137431621551514,0.88427734375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/467.json,math,0.8992784917354584,0.04414915665984154,0.9345703125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/geometry/378.json,math,0.8592899143695831,0.0790373906493187,0.84375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/precalculus/1308.json,math,0.32888777181506157,0.14007078111171722,0.72802734375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/geometry/706.json,math,0.5025275461375713,0.4676690697669983,0.64794921875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/precalculus/478.json,math,0.5572677627205849,0.2285558581352234,0.484375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/counting_and_probability/389.json,math,0.8173475414514542,0.2757609486579895,0.80078125
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/number_theory/710.json,math,0.9855138994753361,0.02756691351532936,0.76904296875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/precalculus/383.json,math,0.9034899985417724,0.10157155990600586,0.90966796875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/number_theory/695.json,math,0.8800227008759975,0.2576749920845032,0.72509765625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/prealgebra/1134.json,math,0.9560160115361214,0.07413763552904129,0.9794921875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/381.json,math,0.295046143932268,0.11130549758672714,0.388671875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/prealgebra/377.json,math,0.8393676951527596,0.11234234273433685,0.96630859375
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/1176.json,math,0.940605016425252,0.16657754778862,0.97509765625
WizardMath-7B-V1.1,hybrid_reasoning,0.0,train/algebra/982.json,math,0.6847654730081558,0.10157375037670135,0.54296875
WizardMath-7B-V1.1,hybrid_reasoning,0.0,test/number_theory/1093.json,math,0.7340887151658535,0.09195234626531601,0.36669921875
