Model,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd,Dataset
WizardMath-7B-V1.1,0.0,0.782133594956249,0.1387497898619621,0.6444180297851563,mr-gsm8k
WizardMath-7B-V1.1,0.3,0.7930719743954251,0.1369422830138355,0.6665462341308593,mr-gsm8k
WizardMath-7B-V1.1,0.6,0.7676825529551133,0.132245765056461,0.6490933532714844,mr-gsm8k
WizardMath-7B-V1.1,0.8,0.7720851783179679,0.1361288898065686,0.6507416381835938,mr-gsm8k
WizardMath-7B-V1.1,1.0,0.7581787299937569,0.1340085751116275,0.6424680480957031,mr-gsm8k
WizardMath-7B-V1.1,1.3,0.6699366105019581,0.150589850988239,0.5471009063720703,mr-gsm8k
WizardMath-7B-V1.1,1.6,0.4502023430862464,0.1791624877527355,0.3717833938598632,mr-gsm8k
WizardMath-7B-V1.1,1.8,0.2646811810265648,0.2280607661512309,0.193775413987154,mr-gsm8k
WizardMath-7B-V1.1,2.0,0.2069382228488102,0.2615622331388294,0.11750244140625,mr-gsm8k
WizardMath-7B-V1.1,0.1,0.7795724171085748,0.1393351082578301,0.6501838073730469,mr-gsm8k
WizardMath-7B-V1.1,0.2,0.7957559853843413,0.1344368615467101,0.6762525329589844,mr-gsm8k
WizardMath-7B-V1.1,0.4,0.7831779310656711,0.1346964343767613,0.6624453735351562,mr-gsm8k
WizardMath-7B-V1.1,0.5,0.7620333573275712,0.1356888121273368,0.6401235656738281,mr-gsm8k
WizardMath-7B-V1.1,0.7,0.7717139076092281,0.1370022190883755,0.6508378601074218,mr-gsm8k
WizardMath-7B-V1.1,0.9,0.7644519248321885,0.13565020041354,0.6427708740234375,mr-gsm8k
WizardMath-7B-V1.1,1.1,0.7225256693507545,0.1373803231921047,0.6162693634033203,mr-gsm8k
WizardMath-7B-V1.1,1.2,0.7124862424754538,0.1482060738876462,0.6001866302490234,mr-gsm8k
WizardMath-7B-V1.1,1.4,0.6459259408712387,0.1601700385920703,0.5270875244140625,mr-gsm8k
WizardMath-7B-V1.1,1.5,0.558182002507376,0.1603409431217787,0.4793468467697113,mr-gsm8k
WizardMath-7B-V1.1,1.7,0.3640274192455723,0.2070782771091422,0.2912808420185097,mr-gsm8k
WizardMath-7B-V1.1,1.9,0.2245520970937796,0.2388033515363931,0.1473368225097656,mr-gsm8k
