Model,Temperature,Hallucination_Rate
Abel-7B-002,0.0,0.01631434398934399
Abel-7B-002,0.3,0.01631434398934399
Abel-7B-002,0.6,0.01631434398934399
Abel-7B-002,0.8,0.01631434398934399
Abel-7B-002,1.0,0.01631434398934399
Abel-7B-002,1.3,0.01631434398934399
Abel-7B-002,1.6,0.01631434398934399
Abel-7B-002,1.8,0.016229905238959567
Abel-7B-002,2.0,0.016189257310987692
WizardMath-7B-V1.1,0.0,0.02607910978602462
WizardMath-7B-V1.1,0.3,0.02607910978602462
WizardMath-7B-V1.1,0.6,0.02607910978602462
WizardMath-7B-V1.1,0.8,0.02607910978602462
WizardMath-7B-V1.1,1.0,0.02607910978602462
WizardMath-7B-V1.1,1.3,0.02607910978602462
WizardMath-7B-V1.1,1.6,0.02607910978602462
WizardMath-7B-V1.1,1.8,0.026131372531086796
WizardMath-7B-V1.1,2.0,0.02607910978602462
