Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
deepseek-chat,hybrid_reasoning,0.0,0.573055648803711,0.37833180745442707,0.6667305501302083
deepseek-chat,hybrid_reasoning,0.1,0.5646557871500651,0.3746599324544271,0.6516947428385417
deepseek-chat,hybrid_reasoning,0.2,0.559716059366862,0.38674204508463544,0.6436946614583333
deepseek-chat,hybrid_reasoning,0.3,0.5721425565083822,0.39073760986328127,0.6547991943359375
deepseek-chat,hybrid_reasoning,0.4,0.5670132319132487,0.3893621826171875,0.6471596272786458
deepseek-chat,hybrid_reasoning,0.5,0.5685983022054036,0.38619059244791665,0.64616455078125
deepseek-chat,hybrid_reasoning,0.6,0.5752801005045572,0.38439249674479165,0.6626603190104167
deepseek-chat,hybrid_reasoning,0.7,0.5688596598307292,0.391766357421875,0.6594173177083333
deepseek-chat,hybrid_reasoning,0.8,0.5814407602945963,0.38657552083333335,0.6571175130208333
deepseek-chat,hybrid_reasoning,0.9,0.5711377716064453,0.38266998291015625,0.6580537923177083
deepseek-chat,hybrid_reasoning,1.0,0.5580531056722006,0.38752543131510414,0.6545979817708333
deepseek-chat,hybrid_reasoning,1.1,0.567497984568278,0.38305216471354164,0.6545172119140625
deepseek-chat,hybrid_reasoning,1.2,0.5584747060139974,0.38567596435546875,0.6578936767578125
deepseek-chat,hybrid_reasoning,1.3,0.5545523198445638,0.3760521443684896,0.6577854410807291
deepseek-chat,hybrid_reasoning,1.4,0.5572496922810872,0.38673146565755206,0.6536346435546875
deepseek-chat,hybrid_reasoning,1.5,0.539989751180013,0.3901526896158854,0.6389190673828125
deepseek-chat,hybrid_reasoning,1.6,0.5566460800170898,0.38789906819661457,0.65974609375
