Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
deepseek-chat,hybrid_reasoning,0.0,math,0.5526582641601563,0.381319580078125,0.63822216796875
deepseek-chat,hybrid_reasoning,0.0,mr-gsm8k,0.6750425720214843,0.3633929443359375,0.8092724609375
deepseek-chat,hybrid_reasoning,0.1,math,0.5362373352050781,0.37823388671875,0.62087158203125
deepseek-chat,hybrid_reasoning,0.1,mr-gsm8k,0.706748046875,0.3567901611328125,0.805810546875
deepseek-chat,hybrid_reasoning,0.2,math,0.5391410217285156,0.388393798828125,0.61717578125
deepseek-chat,hybrid_reasoning,0.2,mr-gsm8k,0.6625912475585938,0.3784832763671875,0.7762890625
deepseek-chat,hybrid_reasoning,0.3,math,0.5485153121948242,0.394439697265625,0.624190673828125
deepseek-chat,hybrid_reasoning,0.3,mr-gsm8k,0.6902787780761719,0.3722271728515625,0.807841796875
deepseek-chat,hybrid_reasoning,0.4,math,0.5424366302490234,0.389954833984375,0.613745849609375
deepseek-chat,hybrid_reasoning,0.4,mr-gsm8k,0.689896240234375,0.38639892578125,0.814228515625
deepseek-chat,hybrid_reasoning,0.5,math,0.5420331726074219,0.38297802734375,0.6202197265625
deepseek-chat,hybrid_reasoning,0.5,mr-gsm8k,0.7014239501953125,0.40225341796875,0.775888671875
deepseek-chat,hybrid_reasoning,0.6,math,0.5575078125,0.38682373046875,0.6334892578125
deepseek-chat,hybrid_reasoning,0.6,mr-gsm8k,0.6641415405273438,0.372236328125,0.808515625
deepseek-chat,hybrid_reasoning,0.7,math,0.5477743530273438,0.39409423828125,0.629228515625
deepseek-chat,hybrid_reasoning,0.7,mr-gsm8k,0.6742861938476562,0.380126953125,0.810361328125
deepseek-chat,hybrid_reasoning,0.8,math,0.5575628051757813,0.38948681640625,0.6271513671875
deepseek-chat,hybrid_reasoning,0.8,mr-gsm8k,0.7008305358886718,0.37201904296875,0.8069482421875
deepseek-chat,hybrid_reasoning,0.9,math,0.5513794860839843,0.38491748046875,0.63088427734375
deepseek-chat,hybrid_reasoning,0.9,mr-gsm8k,0.66992919921875,0.3714324951171875,0.7939013671875
deepseek-chat,hybrid_reasoning,1.0,math,0.5330723876953125,0.393667236328125,0.6245751953125
deepseek-chat,hybrid_reasoning,1.0,mr-gsm8k,0.6829566955566406,0.35681640625,0.8047119140625
deepseek-chat,hybrid_reasoning,1.1,math,0.5432751083374023,0.384875732421875,0.624052490234375
deepseek-chat,hybrid_reasoning,1.1,mr-gsm8k,0.6886123657226563,0.373934326171875,0.8068408203125
deepseek-chat,hybrid_reasoning,1.2,math,0.5380940856933594,0.38840234375,0.629808349609375
deepseek-chat,hybrid_reasoning,1.2,mr-gsm8k,0.6603778076171875,0.3720440673828125,0.7983203125
deepseek-chat,hybrid_reasoning,1.3,math,0.5304717559814454,0.380826416015625,0.630154052734375
deepseek-chat,hybrid_reasoning,1.3,mr-gsm8k,0.6749551391601563,0.3521807861328125,0.7959423828125
deepseek-chat,hybrid_reasoning,1.4,math,0.5333094635009765,0.3951197509765625,0.622410400390625
deepseek-chat,hybrid_reasoning,1.4,mr-gsm8k,0.6769508361816406,0.3447900390625,0.809755859375
deepseek-chat,hybrid_reasoning,1.5,math,0.5188831329345703,0.3966610107421875,0.609688232421875
deepseek-chat,hybrid_reasoning,1.5,mr-gsm8k,0.6455228424072266,0.357611083984375,0.7850732421875
deepseek-chat,hybrid_reasoning,1.6,math,0.5303914489746093,0.3932291259765625,0.6318125
deepseek-chat,hybrid_reasoning,1.6,mr-gsm8k,0.6879192352294922,0.361248779296875,0.7994140625
