Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
deepseek-reasoner,hybrid_reasoning,0.0,math,0.5391943511962891,0.1472423095703125,0.699875
deepseek-reasoner,hybrid_reasoning,0.0,mr-gsm8k,0.7837909698486328,0.07012069702148438,0.7656787109375
deepseek-reasoner,hybrid_reasoning,0.1,math,0.5429864730834961,0.14667636108398438,0.700281982421875
deepseek-reasoner,hybrid_reasoning,0.1,mr-gsm8k,0.7753907012939453,0.08028106689453125,0.78431396484375
deepseek-reasoner,hybrid_reasoning,0.2,math,0.555162857055664,0.13943002319335937,0.70060498046875
deepseek-reasoner,hybrid_reasoning,0.2,mr-gsm8k,0.7610631561279297,0.07707061767578124,0.77616943359375
deepseek-reasoner,hybrid_reasoning,0.3,math,0.5253300399780273,0.15071975708007812,0.7133232421875
deepseek-reasoner,hybrid_reasoning,0.3,mr-gsm8k,0.765953598022461,0.0828143310546875,0.76510009765625
deepseek-reasoner,hybrid_reasoning,0.4,math,0.5496633453369141,0.14840969848632812,0.693813232421875
deepseek-reasoner,hybrid_reasoning,0.4,mr-gsm8k,0.7754683685302735,0.07829910278320312,0.808505859375
deepseek-reasoner,hybrid_reasoning,0.5,math,0.5526904296875,0.141332275390625,0.70016064453125
deepseek-reasoner,hybrid_reasoning,0.5,mr-gsm8k,0.7530951309204101,0.09135284423828124,0.77642822265625
deepseek-reasoner,hybrid_reasoning,0.6,math,0.5564219741821289,0.14198471069335938,0.720526123046875
deepseek-reasoner,hybrid_reasoning,0.6,mr-gsm8k,0.7466287994384766,0.0734466552734375,0.7634521484375
deepseek-reasoner,hybrid_reasoning,0.7,math,0.5496211929321289,0.14129376220703124,0.715472900390625
deepseek-reasoner,hybrid_reasoning,0.7,mr-gsm8k,0.7927547454833984,0.07381134033203125,0.7778662109375
deepseek-reasoner,hybrid_reasoning,0.8,math,0.545177375793457,0.14191949462890624,0.710282958984375
deepseek-reasoner,hybrid_reasoning,0.8,mr-gsm8k,0.75618896484375,0.07992767333984375,0.8092626953125
deepseek-reasoner,hybrid_reasoning,0.9,math,0.5370302200317383,0.14954571533203126,0.71008251953125
deepseek-reasoner,hybrid_reasoning,0.9,mr-gsm8k,0.78270751953125,0.092001953125,0.7882275390625
deepseek-reasoner,hybrid_reasoning,1.0,math,0.5378234786987305,0.14685665893554686,0.708550537109375
deepseek-reasoner,hybrid_reasoning,1.0,mr-gsm8k,0.7859799575805664,0.06902069091796875,0.77418701171875
deepseek-reasoner,hybrid_reasoning,1.1,math,0.5559451065063477,0.14438116455078126,0.71209619140625
deepseek-reasoner,hybrid_reasoning,1.1,mr-gsm8k,0.7824256420135498,0.08665720621744792,0.7821807861328125
