Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
gpt-4o-mini,hybrid_reasoning,0.0,0.5934123941976577,0.21804444899161657,0.69697265625
gpt-4o-mini,hybrid_reasoning,0.1,0.5879622118733824,0.2171603575348854,0.7004248046875
gpt-4o-mini,hybrid_reasoning,0.2,0.6119927477215727,0.2190839292978247,0.7034519449869792
gpt-4o-mini,hybrid_reasoning,0.3,0.596202122143004,0.21605965079118808,0.6933841959635416
gpt-4o-mini,hybrid_reasoning,0.4,0.5994931069404508,0.22366158451884985,0.6993965657552084
gpt-4o-mini,hybrid_reasoning,0.5,0.5925696868821979,0.21998586652179558,0.7056351725260417
gpt-4o-mini,hybrid_reasoning,0.6,0.5991597469942644,0.22390957380334536,0.700814208984375
gpt-4o-mini,hybrid_reasoning,0.7,0.5797557730864112,0.23189130624135335,0.696431884765625
gpt-4o-mini,hybrid_reasoning,0.8,0.5975351164676249,0.22796885839353004,0.7000370279947916
gpt-4o-mini,hybrid_reasoning,0.9,0.5703550681634806,0.22841250743716957,0.6901936848958333
gpt-4o-mini,hybrid_reasoning,1.0,0.5631331664618725,0.23600834315021832,0.6864046223958333
gpt-4o-mini,hybrid_reasoning,1.1,0.5588698115983668,0.2495694903905193,0.6784562174479166
gpt-4o-mini,hybrid_reasoning,1.2,0.537971443037192,0.24592774492998917,0.6646714274088542
gpt-4o-mini,hybrid_reasoning,1.3,0.5073780154351456,0.25792400566240153,0.6306901041666667
gpt-4o-mini,hybrid_reasoning,1.4,0.49935470110892005,0.2636920744304856,0.6083599853515625
gpt-4o-mini,hybrid_reasoning,1.5,0.3939896642155266,0.3080856001377106,0.49576883951822914
gpt-4o-mini,hybrid_reasoning,1.6,0.32619409772606256,0.31661991010109586,0.39767659505208336
