Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
gpt-4o-mini,hybrid_reasoning,0.0,math,0.565916208576411,0.22815602181851863,0.68024609375
gpt-4o-mini,hybrid_reasoning,0.0,mr-gsm8k,0.7308933223038911,0.1674865848571062,0.78060546875
gpt-4o-mini,hybrid_reasoning,0.1,math,0.5579639581516385,0.2267419362962246,0.6848125
gpt-4o-mini,hybrid_reasoning,0.1,mr-gsm8k,0.7379534804821014,0.16925246372818947,0.778486328125
gpt-4o-mini,hybrid_reasoning,0.2,math,0.5869613806270063,0.22633667686581613,0.684539794921875
gpt-4o-mini,hybrid_reasoning,0.2,mr-gsm8k,0.7371495831944048,0.18282019145786763,0.7980126953125
gpt-4o-mini,hybrid_reasoning,0.3,math,0.5749812006140128,0.22670946508646012,0.67533447265625
gpt-4o-mini,hybrid_reasoning,0.3,mr-gsm8k,0.7023067297879606,0.16281057931482792,0.7836328125
gpt-4o-mini,hybrid_reasoning,0.4,math,0.5738746083974838,0.23155700428783893,0.6823759765625
gpt-4o-mini,hybrid_reasoning,0.4,mr-gsm8k,0.7275855996552855,0.1841844856739044,0.78449951171875
gpt-4o-mini,hybrid_reasoning,0.5,math,0.5709794197939336,0.22716120570898057,0.69132470703125
gpt-4o-mini,hybrid_reasoning,0.5,mr-gsm8k,0.700521022323519,0.18410917058587073,0.7771875
gpt-4o-mini,hybrid_reasoning,0.6,math,0.5759299511816353,0.2301642355620861,0.68352294921875
gpt-4o-mini,hybrid_reasoning,0.6,mr-gsm8k,0.7153087260574102,0.19263626500964165,0.7872705078125
gpt-4o-mini,hybrid_reasoning,0.7,math,0.5543106361422688,0.2387546908557415,0.67865869140625
gpt-4o-mini,hybrid_reasoning,0.7,mr-gsm8k,0.7069814578071236,0.19757438316941262,0.7852978515625
gpt-4o-mini,hybrid_reasoning,0.8,math,0.56941567196697,0.23402725006639957,0.68349072265625
gpt-4o-mini,hybrid_reasoning,0.8,mr-gsm8k,0.7381323389708996,0.19767690002918242,0.7827685546875
gpt-4o-mini,hybrid_reasoning,0.9,math,0.5468181337313727,0.23632857103645802,0.6748984375
gpt-4o-mini,hybrid_reasoning,0.9,mr-gsm8k,0.6880397403240204,0.18883218944072724,0.766669921875
gpt-4o-mini,hybrid_reasoning,1.0,math,0.5423748851772398,0.2418517753481865,0.6672666015625
gpt-4o-mini,hybrid_reasoning,1.0,mr-gsm8k,0.6669245728850365,0.2067911821603775,0.7820947265625
gpt-4o-mini,hybrid_reasoning,1.1,math,0.5355456355782225,0.26026281955838204,0.66250390625
gpt-4o-mini,hybrid_reasoning,1.1,mr-gsm8k,0.6754906916990876,0.19610284455120564,0.7582177734375
gpt-4o-mini,hybrid_reasoning,1.2,math,0.5111674380674959,0.25533616964519024,0.646108642578125
gpt-4o-mini,hybrid_reasoning,1.2,mr-gsm8k,0.6719914678856731,0.19888562135398388,0.7574853515625
gpt-4o-mini,hybrid_reasoning,1.3,math,0.48856642068270595,0.26558050805330274,0.6103876953125
gpt-4o-mini,hybrid_reasoning,1.3,mr-gsm8k,0.6014359891973435,0.2196414937078953,0.7322021484375
gpt-4o-mini,hybrid_reasoning,1.4,math,0.4791610352732241,0.2711914837658405,0.590032470703125
gpt-4o-mini,hybrid_reasoning,1.4,mr-gsm8k,0.6003230302873999,0.22619502775371075,0.69999755859375
gpt-4o-mini,hybrid_reasoning,1.5,math,0.3749402430926566,0.3142614301890135,0.476119873046875
gpt-4o-mini,hybrid_reasoning,1.5,mr-gsm8k,0.48923676982987674,0.277206449881196,0.594013671875
gpt-4o-mini,hybrid_reasoning,1.6,math,0.3208546802964411,0.3240409421622753,0.393179931640625
gpt-4o-mini,hybrid_reasoning,1.6,mr-gsm8k,0.35289118487417,0.2795147497951984,0.420159912109375
