,Model,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
0,Abel-7B-002,0.0,0.5386938377543508,0.2570587595955779,0.5405271402994791
1,Abel-7B-002,0.1,0.5404245401546359,0.25759913632335757,0.51887451171875
2,Abel-7B-002,0.2,0.5468644566379953,0.25488178916896376,0.5171665445963541
3,Abel-7B-002,0.3,0.550224419470178,0.26746940911747513,0.5174848429361979
4,Abel-7B-002,0.4,0.5442463812387238,0.2566779962989191,0.5353376261393229
5,Abel-7B-002,0.5,0.5345821691865179,0.2507568213467796,0.5374817911783855
6,Abel-7B-002,0.6,0.5524834481537497,0.24032179932110007,0.5226195780436198
7,Abel-7B-002,0.7,0.5197334732439292,0.24665266674632821,0.5284115600585938
8,Abel-7B-002,0.8,0.5184326733408186,0.24028188695199784,0.5284768168131511
9,Abel-7B-002,0.9,0.5245893187168985,0.22830531913787122,0.5165303039550782
10,Abel-7B-002,1.0,0.5211937035705584,0.22786652908039584,0.5271120198567708
11,Abel-7B-002,1.1,0.49086371548318614,0.22001761071073508,0.47628697713216145
12,Abel-7B-002,1.2,0.45183117084476787,0.21723832992836828,0.46400461832682294
13,Abel-7B-002,1.3,0.4644272018404659,0.21690154966297104,0.4574175805949846
14,Abel-7B-002,1.4,0.39808035304616735,0.2031921813883287,0.4218292236328125
15,Abel-7B-002,1.5,0.3763586321322366,0.19853309471546404,0.3883440406824833
16,Abel-7B-002,1.6,0.35908098810003525,0.1999022871330629,0.34892757760242477
17,WizardMath-7B-V1.1,0.0,0.574902401038756,0.2204268369202812,0.548403574625651
18,WizardMath-7B-V1.1,0.1,0.5703661329958898,0.2214324864869316,0.5447066243489583
19,WizardMath-7B-V1.1,0.2,0.5766933479990499,0.21992829954872525,0.5354871368408203
20,WizardMath-7B-V1.1,0.3,0.5614446563079643,0.21844275905129806,0.5313809712727865
21,WizardMath-7B-V1.1,0.4,0.5637690018598611,0.20663372328504914,0.5283985392252604
22,WizardMath-7B-V1.1,0.5,0.5583491536103732,0.21708732036873693,0.5415541839599609
23,WizardMath-7B-V1.1,0.6,0.559935399358316,0.2203794093554218,0.534838612874349
24,WizardMath-7B-V1.1,0.7,0.5328663278200353,0.22333816365959738,0.5323685709635416
25,WizardMath-7B-V1.1,0.8,0.5457532462353508,0.2125225529509286,0.5246699523925781
26,WizardMath-7B-V1.1,0.9,0.5255746634909884,0.2122391826069603,0.4989906819661458
27,WizardMath-7B-V1.1,1.0,0.5277601744156951,0.20178586453199382,0.4992002868652344
28,WizardMath-7B-V1.1,1.1,0.5005236686649732,0.2223046241762737,0.48279642740885415
29,WizardMath-7B-V1.1,1.2,0.48124897246811693,0.21236333304395275,0.4285656229654948
30,WizardMath-7B-V1.1,1.3,0.444988348352684,0.222423702571541,0.4065250142415365
31,WizardMath-7B-V1.1,1.4,0.4303618824093913,0.21707743892135714,0.38062983194986977
32,WizardMath-7B-V1.1,1.5,0.3491628029282825,0.23230401890662805,0.30848286946614584
33,WizardMath-7B-V1.1,1.6,0.3080774886611228,0.23074853096467748,0.25324666341145835
34,gpt-4o-mini,0.0,0.5934123941976577,0.2180444489916165,0.69697265625
35,gpt-4o-mini,0.1,0.5879622118733824,0.21716035753488536,0.7004248046875
36,gpt-4o-mini,0.2,0.6119927477215727,0.21908392929782466,0.7034519449869792
37,gpt-4o-mini,0.3,0.596202122143004,0.21605965079118802,0.6933841959635416
38,gpt-4o-mini,0.4,0.5994931069404508,0.2236615845188498,0.6993965657552084
39,gpt-4o-mini,0.5,0.5925696868821979,0.21998586652179555,0.7056351725260417
40,gpt-4o-mini,0.6,0.5991597469942644,0.2239095738033453,0.700814208984375
41,gpt-4o-mini,0.7,0.5797557730864112,0.23189130624135332,0.696431884765625
42,gpt-4o-mini,0.8,0.5975351164676249,0.22796885839353,0.7000370279947916
43,gpt-4o-mini,0.9,0.5703550681634806,0.2284125074371695,0.6901936848958333
44,gpt-4o-mini,1.0,0.5631331664618725,0.2360083431502183,0.6864046223958333
45,gpt-4o-mini,1.1,0.5588698115983668,0.24956949039051926,0.6784562174479166
46,gpt-4o-mini,1.2,0.537971443037192,0.24592774492998914,0.6646714274088542
47,gpt-4o-mini,1.3,0.5073780154351456,0.2579240056624015,0.6306901041666667
48,gpt-4o-mini,1.4,0.49935470110892005,0.26369207443048553,0.6083599853515625
49,gpt-4o-mini,1.5,0.39398966421552656,0.3080856001377105,0.49576883951822914
50,gpt-4o-mini,1.6,0.3261940977260625,0.3166199101010958,0.39767659505208336
